"","fullReferrer","01","02","03","04","05","06","07","08","09"
"1","carolinadonorservices.org/",0,0,0,0,0,0,4,1,1
"2","carolinadonorservices.org/about-recipients",0,0,0,0,0,0,1,0,0
"3","carolinadonorservices.org/about-us",0,0,0,0,0,0,0,1,0
"4","carolinadonorservices.org/careers",0,0,0,0,0,0,2,0,0
"5","carolinadonorservices.org/donation-process",0,0,0,0,0,0,0,0,1
"6","carolinadonorservices.org/donor-quilts-gallery",0,0,0,0,0,0,0,2,0
"7","carolinadonorservices.org/frequently-asked-questions",3,4,4,3,8,6,7,1,4
"8","carolinadonorservices.org/node/191/done",0,0,0,0,0,0,0,1,0
"9","carolinadonorservices.org/node/673/done",0,0,0,0,0,0,0,0,1
"10","carolinadonorservices.org/register-donate",1,2,1,4,3,1,0,0,0
"11","carolinadonorservices.org/story/sandras-story",0,0,0,0,0,0,1,0,0
